Channel,Acc,Confusion Matrix,PPV,SEN,SPE,F1
1,63.67,"[[160 240]
 [ 87 413]]",66.04,40.29,82.6,49.5
2,65.44,"[[187 213]
 [ 98 402]]",66.13,46.67,80.4,54.54
3,73.22,"[[265 135]
 [106 394]]",72.48,66.77,78.8,68.86
4,80.11,"[[317  83]
 [ 96 404]]",76.68,79.21,80.8,77.86
5,61.44,"[[111 289]
 [ 58 442]]",69.11,28.1,88.4,38.7
6,85.22,"[[279 121]
 [ 12 488]]",95.89,69.88,97.6,80.76
7,61.89,"[[224 176]
 [167 333]]",57.76,56.48,66.6,56.63
8,91.78,"[[370  30]
 [ 44 456]]",89.24,92.43,91.2,90.76
9,94.33,"[[368  32]
 [ 19 481]]",94.93,91.96,96.2,93.38
10,60.89,"[[153 247]
 [105 395]]",59.05,38.19,79.0,46.24
11,82.11,"[[260 140]
 [ 21 479]]",92.88,65.0,95.8,76.29
12,65.11,"[[177 223]
 [ 91 409]]",66.21,44.24,81.8,52.88
13,69.67,"[[266 134]
 [139 361]]",65.94,66.82,72.2,66.11
14,75.89,"[[262 138]
 [ 79 421]]",77.54,65.6,84.2,70.7
15,65.11,"[[152 248]
 [ 66 434]]",71.25,38.29,86.8,48.6
16,84.33,"[[364  36]
 [105 395]]",77.61,91.15,79.0,83.76
17,59.89,"[[101 299]
 [ 62 438]]",61.38,25.54,87.6,35.73
18,78.44,"[[311  89]
 [105 395]]",74.66,77.81,79.0,76.12
19,69.22,"[[225 175]
 [102 398]]",68.94,56.7,79.6,61.76
20,76.56,"[[277 123]
 [ 88 412]]",75.98,69.62,82.4,72.32
